"gs_id","gs_pmid","gs_name","name","gs_description","ensembl_gene","gene_symbol","excel_gene_symbol","entrez_gene","ensembl_in_ref","symbol_in_ref"
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000160216","AGPAT3","'AGPAT3",56894,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000156709","AIFM1","'AIFM1",9131,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000004455","AK2","'AK2",204,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000111275","ALDH2","'ALDH2",217,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000149925","ALDOA","'ALDOA",226,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000154188","ANGPT1","'ANGPT1",284,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000167772","ANGPTL4","'ANGPTL4",51129,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000084234","APLP2","'APLP2",334,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000130203","APOE","'APOE",348,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000078061","ARAF","'ARAF",369,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000122644","ARL4A","'ARL4A",10124,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000119787","ATL2","'ATL2",64225,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000069849","ATP1B3","'ATP1B3",483,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000241837","ATP5PO","'ATP5PO",539,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000076108","BAZ2A","'BAZ2A",11176,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000248098","BCKDHA","'BCKDHA",593,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000099968","BCL2L13","'BCL2L13",23786,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000113916","BCL6","'BCL6",604,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000125730","C3","'C3",718,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000121691","CAT","'CAT",847,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000177469","CAVIN1","'CAVIN1",284119,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000168497","CAVIN2","'CAVIN2",8436,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000138764","CCNG2","'CCNG2",901,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000177697","CD151","'CD151",977,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000241399","CD302","'CD302",9936,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000135218","CD36","'CD36",948,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000123080","CDKN2C","'CDKN2C",1031,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000242131","CHCHD10","'CHCHD10",400916,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000250479","CHCHD10","'CHCHD10",400916,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000273607","CHCHD10","'CHCHD10",400916,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000213341","CHUK","'CHUK",1147,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000176194","CIDEA","'CIDEA",1149,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000164237","CMBL","'CMBL",134147,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000162368","CMPK1","'CMPK1",51727,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000204291","COL15A1","'COL15A1",1306,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000187498","COL4A1","'COL4A1",1282,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000132423","COQ3","'COQ3",51805,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000110871","COQ5","'COQ5",84274,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000088682","COQ9","'COQ9",57017,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000111775","COX6A1","'COX6A1",1337,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000131174","COX7B","'COX7B",1349,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000176340","COX8A","'COX8A",1351,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000157184","CPT2","'CPT2",1376,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000095321","CRAT","'CRAT",1384,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000062485","CS","'CS",1431,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000179091","CYC1","'CYC1",1537,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000142973","CYP4B1","'CYP4B1",1580,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000137992","DBT","'DBT",1629,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000099977","DDT","'DDT",1652,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000275003","DDT","'DDT",1652,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000104325","DECR1","'DECR1",1666,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000185000","DGAT1","'DGAT1",8694,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000261698","DGAT1","'DGAT1",8694,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000285482","DGAT1","'DGAT1",8694,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000172893","DHCR7","'DHCR7",1717,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000100612","DHRS7","'DHRS7",51635,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000109016","DHRS7B","'DHRS7B",25979,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000150768","DLAT","'DLAT",1737,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000091140","DLD","'DLD",1738,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000128590","DNAJB9","'DNAJB9",4189,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000120675","DNAJC15","'DNAJC15",29103,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000156171","DRAM2","'DRAM2",128338,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000104823","ECH1","'ECH1",1891,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000282853","ECH1","'ECH1",1891,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000127884","ECHS1","'ECHS1",1892,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000115459","ELMOD3","'ELMOD3",84173,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000170522","ELOVL6","'ELOVL6",79071,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000136960","ENPP2","'ENPP2",5168,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000120915","EPHX2","'EPHX2",2053,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000173153","ESRRA","'ESRRA",2101,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000139641","ESYT1","'ESYT1",23344,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000105379","ETFB","'ETFB",2109,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000170323","FABP4","'FABP4",2167,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000103876","FAH","'FAH",2184,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000174804","FZD4","'FZD4",8322,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000138757","G3BP2","'G3BP2",9908,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000116717","GADD45A","'GADD45A",1647,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000114480","GBE1","'GBE1",2632,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000165678","GHITM","'GHITM",27069,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000119927","GPAM","'GPAM",57678,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000158669","GPAT4","'GPAT4",137964,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000115159","GPD2","'GPD2",2820,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000171723","GPHN","'GPHN",10243,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000211445","GPX3","'GPX3",2878,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000167468","GPX4","'GPX4",2879,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000109519","GRPEL1","'GRPEL1",80273,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000138796","HADH","'HADH",3033,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000198130","HIBCH","'HIBCH",26275,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000152137","HSPB8","'HSPB8",26353,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000138413","IDH1","'IDH1",3417,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000166411","IDH3A","'IDH3A",3419,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000067829","IDH3G","'IDH3G",3421,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000027697","IFNGR1","'IFNGR1",3459,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000132305","IMMT","'IMMT",10989,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000135424","ITGA7","'ITGA7",3679,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000123243","ITIH5","'ITIH5",80760,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000205726","ITSN1","'ITSN1",6453,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000171135","JAGN1","'JAGN1",84522,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000112769","LAMA4","'LAMA4",3910,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000174697","LEP","'LEP",3952,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000113594","LIFR","'LIFR",3977,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000079435","LIPE","'LIPE",3991,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000111684","LPCAT3","'LPCAT3",10162,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000175445","LPL","'LPL",4023,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000213316","LTC4S","'LTC4S",4056,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000283887","LTC4S","'LTC4S",4056,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000011566","MAP4K3","'MAP4K3",8491,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000078070","MCCC1","'MCCC1",56922,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000146701","MDH2","'MDH2",4191,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000065833","ME1","'ME1",4199,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000074416","MGLL","'MGLL",11343,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000143198","MGST3","'MGST3",4259,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000148343","MIGA2","'MIGA2",84895,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000170262","MRAP","'MRAP",56246,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000137547","MRPL15","'MRPL15",29088,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000117791","MTARC2","'MTARC2",54996,TRUE,FALSE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000109919","MTCH2","'MTCH2",23788,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000285121","MTCH2","'MTCH2",23788,FALSE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000065534","MYLK","'MYLK",4638,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000173559","NABP1","'NABP1",64859,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000128609","NDUFA5","'NDUFA5",4698,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000004779","NDUFAB1","'NDUFAB1",4706,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000099795","NDUFB7","'NDUFB7",4713,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000213619","NDUFS3","'NDUFS3",4722,TRUE,TRUE
"M5905","26771021","HALLMARK_ADIPOGENESIS","ADIPOGENESIS","Genes up-regulated during adipocyte differentiation (adipogenesis).","ENSG00000285387","NDUFS3","'NDUFS3",4722,FALSE,TRUE
